                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.85199,                0.45021,                0.90974,                0.92193,                0.92008,                0.96743,                0.73193,                0.95445,                0.47886,                0.93258,               0.000506,               0.000506,               0.000506
                     85,                0.85742,                0.44713,                 0.9024,                0.90796,                0.93383,                0.96708,                0.73215,                0.94893,                0.48818,                0.93191,               0.000488,               0.000488,               0.000488
                     86,                0.84949,                0.44858,                0.90186,                0.91279,                0.92713,                0.96824,                0.73405,                  0.951,                0.47611,                0.93302,                0.00047,                0.00047,                0.00047
                     87,                0.85348,                0.44066,                0.90813,                0.93709,                0.92207,                 0.9684,                 0.7347,                0.95254,                0.47298,                0.93255,               0.000452,               0.000452,               0.000452
                     88,                0.84781,                0.44886,                0.90219,                0.92121,                 0.9317,                0.96547,                0.73226,                0.94487,                0.48486,                0.93448,               0.000434,               0.000434,               0.000434
                     89,                0.84809,                0.45028,                 0.8987,                0.91409,                 0.9349,                0.96842,                0.73182,                0.95469,                0.47296,                0.93452,               0.000416,               0.000416,               0.000416
                     90,                0.83774,                0.44186,                0.89845,                 0.9086,                 0.9317,                  0.968,                0.73402,                0.94604,                0.48158,                0.92944,               0.000398,               0.000398,               0.000398
                     91,                0.81886,                0.42657,                0.89782,                0.90721,                0.93906,                0.96456,                0.72877,                0.95455,                0.47791,                0.93319,                0.00038,                0.00038,                0.00038
                     92,                0.81053,                0.41089,                0.89591,                0.91676,                0.91677,                0.96576,                0.73152,                 0.9485,                0.46854,                0.93254,               0.000362,               0.000362,               0.000362
                     93,                0.81561,                0.41394,                0.89812,                0.91706,                0.92039,                  0.964,                0.72919,                0.94351,                0.47427,                0.93158,               0.000344,               0.000344,               0.000344
                     94,                0.80561,                0.40492,                0.89201,                0.90104,                0.93703,                0.96627,                0.72869,                0.95438,                0.47787,                0.93314,               0.000326,               0.000326,               0.000326
                     95,                0.79647,                0.40894,                 0.8913,                0.90416,                0.93638,                0.96806,                0.73255,                0.95071,                0.47631,                0.93284,               0.000308,               0.000308,               0.000308
                     96,                0.79428,                0.40158,                 0.8883,                0.90588,                0.93383,                0.96551,                0.72772,                0.95469,                0.47839,                0.93297,                0.00029,                0.00029,                0.00029
                     97,                0.79637,                0.40018,                0.89172,                 0.9083,                0.93597,                0.96586,                0.72643,                 0.9713,                0.47702,                0.93879,               0.000272,               0.000272,               0.000272
                     98,                0.79132,                0.40046,                0.88947,                0.90286,                0.94237,                0.96909,                0.73256,                0.95412,                0.47719,                 0.9325,               0.000254,               0.000254,               0.000254
                     99,                0.79235,                0.39789,                0.89002,                0.91264,                0.93276,                0.97039,                0.73818,                0.94967,                0.46819,                0.93343,               0.000236,               0.000236,               0.000236
                    100,                0.79484,                0.40054,                0.89389,                 0.9223,                0.91996,                0.97081,                0.73377,                0.95792,                0.47122,                0.93663,               0.000218,               0.000218,               0.000218
